iter	RMSE
0	5380.889633
1	5307.045328
2	5227.175347
3	5160.148372
4	5090.159917
5	5029.703468
6	4971.37217
7	4910.827363
8	4855.324971
9	4803.768432
10	4756.673274
11	4714.651378
12	4673.797036
13	4635.298282
14	4597.163084
15	4560.055768
16	4530.064512
17	4495.314308
18	4467.639872
19	4435.390284
20	4414.105591
21	4383.991613
22	4363.892265
23	4340.351206
24	4318.733332
25	4299.023773
26	4279.162963
27	4256.534789
28	4238.608864
29	4222.109635
30	4208.018821
31	4190.728017
32	4172.845753
33	4156.477398
34	4144.051784
35	4132.43819
36	4118.08176
37	4105.395907
38	4093.000582
39	4076.292512
40	4061.4663
41	4048.510964
42	4034.310988
43	4021.567039
44	4012.952144
45	4001.783351
46	3987.58109
47	3976.489638
48	3967.605988
49	3957.447387
50	3942.577697
51	3929.092463
52	3920.411477
53	3910.544394
54	3903.867832
55	3895.620979
56	3886.464529
57	3879.299385
58	3871.439738
59	3863.222452
60	3853.454576
61	3843.149395
62	3829.478691
63	3820.900102
64	3811.963677
65	3804.036123
66	3797.230144
67	3786.379913
68	3780.309608
69	3772.628086
70	3766.481719
71	3758.106892
72	3747.354852
73	3739.609091
74	3734.662862
75	3725.411975
76	3721.737324
77	3715.058192
78	3708.155029
79	3699.622508
80	3694.039744
81	3688.896186
82	3680.257739
83	3673.838967
84	3668.052242
85	3664.246296
86	3658.587671
87	3653.597611
88	3648.579968
89	3643.566354
90	3638.795957
91	3632.11501
92	3627.364057
93	3623.489131
94	3614.3226
95	3608.761204
96	3603.772855
97	3600.281383
98	3596.819735
99	3591.052277
100	3586.21007
101	3583.255724
102	3575.798662
103	3570.426456
104	3565.905061
105	3561.250285
106	3554.194845
107	3550.718467
108	3546.061925
109	3542.703154
110	3539.241696
111	3533.979721
112	3530.148097
113	3523.847032
114	3519.484146
115	3513.638478
116	3509.302222
117	3506.168238
118	3504.464901
119	3501.387615
120	3497.146189
121	3493.77598
122	3490.923861
123	3485.946878
124	3480.682122
125	3476.76961
126	3472.72494
127	3468.489588
128	3462.761567
129	3457.829184
130	3454.072214
131	3451.434839
132	3444.871288
133	3441.872965
134	3437.594136
135	3434.946253
136	3430.434381
137	3426.096472
138	3421.568001
139	3417.777135
140	3414.087075
141	3407.255596
142	3403.173901
143	3398.490901
144	3395.247235
145	3389.17503
146	3384.436258
147	3381.900365
148	3378.944596
149	3374.499893
150	3371.20646
151	3366.167437
152	3363.098515
153	3360.179734
154	3356.742811
155	3353.304279
156	3349.398623
157	3345.847182
158	3343.150623
159	3339.521509
160	3335.61931
161	3331.477701
162	3327.45523
163	3324.088508
164	3320.754996
165	3316.063635
166	3313.748882
167	3311.461139
168	3310.240831
169	3306.173214
170	3301.819028
171	3299.030669
172	3294.988439
173	3290.233415
174	3287.964492
175	3283.20789
176	3282.000513
177	3277.368514
178	3273.213861
179	3270.642193
180	3267.193469
181	3264.416237
182	3260.310839
183	3258.466786
184	3255.716457
185	3250.446503
186	3249.265127
187	3246.545857
188	3241.97571
189	3239.494316
190	3237.151746
191	3234.073669
192	3231.870679
193	3229.719434
194	3228.033086
195	3224.499072
196	3223.393367
197	3221.212755
198	3218.113231
199	3215.803967
200	3213.3662
201	3211.550487
202	3210.329939
203	3209.281337
204	3206.775985
205	3202.749966
206	3196.854018
207	3193.819865
208	3189.562724
209	3187.662952
210	3183.08475
211	3179.829725
212	3177.249064
213	3174.987327
214	3171.675394
215	3170.428366
216	3167.749755
217	3162.787957
218	3159.73362
219	3157.989769
220	3152.488281
221	3149.584137
222	3146.868708
223	3144.861212
224	3141.189863
225	3140.307412
226	3139.374696
227	3138.349609
228	3132.878461
229	3128.493878
230	3124.936513
231	3122.4973
232	3120.678628
233	3119.615521
234	3118.480807
235	3116.548293
236	3113.455051
237	3111.052785
238	3107.954062
239	3104.855279
240	3104.049264
241	3099.827521
242	3098.874764
243	3097.369458
244	3093.11323
245	3091.464681
246	3088.61147
247	3085.218145
248	3079.962991
249	3079.362491
250	3076.729378
251	3075.975358
252	3075.160284
253	3074.498622
254	3073.732715
255	3073.049928
256	3070.771266
257	3066.938491
258	3065.399465
259	3062.952621
260	3061.003897
261	3060.423135
262	3055.431613
263	3050.989468
264	3047.799464
265	3047.264707
266	3046.640215
267	3042.724826
268	3040.570597
269	3039.946146
270	3037.109552
271	3034.970187
272	3031.360745
273	3028.754161
274	3024.744674
275	3024.289817
276	3023.7815
277	3020.607112
278	3017.0067
279	3014.180978
280	3013.300432
281	3011.861154
282	3008.942616
283	3005.979901
284	3005.551031
285	3005.20173
286	3000.296687
287	2996.945414
288	2994.236638
289	2993.852592
290	2991.477332
291	2987.959144
292	2984.321256
293	2982.362953
294	2980.318972
295	2977.099836
296	2974.828895
297	2972.823705
298	2970.172231
299	2967.789196
300	2965.654315
301	2963.611373
302	2963.153631
303	2962.60264
304	2960.087516
305	2959.536919
306	2956.51652
307	2955.493605
308	2953.427304
309	2948.853338
310	2943.883835
311	2941.666011
312	2940.268205
313	2938.099021
314	2937.765797
315	2935.935841
316	2933.02298
317	2932.078564
318	2931.741166
319	2931.420841
320	2927.813521
321	2926.54061
322	2924.593864
323	2921.768663
324	2919.011329
325	2917.305576
326	2916.992488
327	2914.539422
328	2911.135894
329	2909.547119
330	2909.164405
331	2908.332776
332	2906.660027
333	2905.745155
334	2903.102964
335	2901.517453
336	2899.213852
337	2897.176048
338	2896.802515
339	2895.539998
340	2893.295678
341	2891.026482
342	2887.317443
343	2885.216475
344	2882.708787
345	2882.406193
346	2881.250293
347	2879.050337
348	2877.332555
349	2874.731548
350	2872.422149
351	2871.731357
352	2868.807632
353	2867.298541
354	2864.692055
355	2862.677119
356	2859.14444
357	2857.253755
358	2855.598095
359	2854.964245
360	2852.069202
361	2849.42424
362	2849.162123
363	2845.95376
364	2843.004383
365	2840.812074
366	2839.858533
367	2839.168465
368	2835.316154
369	2832.634592
370	2832.265263
371	2830.413843
372	2828.634785
373	2827.280574
374	2824.110433
375	2822.284067
376	2819.213131
377	2816.399536
378	2813.972397
379	2811.010893
380	2809.377725
381	2809.077463
382	2808.089449
383	2806.991698
384	2804.60672
385	2804.321073
386	2801.791059
387	2798.742336
388	2795.948065
389	2795.278199
390	2792.413641
391	2790.560716
392	2786.575661
393	2785.907253
394	2783.542632
395	2780.911023
396	2779.388442
397	2778.154408
398	2776.06083
399	2771.904785
400	2771.200437
401	2769.660015
402	2767.252741
403	2763.398688
404	2761.709672
405	2760.058095
406	2759.011102
407	2757.486181
408	2756.927302
409	2756.443634
410	2755.626226
411	2752.961459
412	2751.777987
413	2749.227151
414	2747.969996
415	2743.315817
416	2740.723474
417	2739.85266
418	2737.246743
419	2734.629177
420	2732.666918
421	2731.3614
422	2729.739932
423	2727.714187
424	2726.321911
425	2723.979829
426	2723.495749
427	2722.921077
428	2722.013302
429	2720.919367
430	2719.516838
431	2717.231238
432	2715.826662
433	2713.680539
434	2711.373703
435	2710.997499
436	2708.444525
437	2706.143658
438	2703.9624
439	2702.357851
440	2700.187508
441	2696.850007
442	2695.155133
443	2694.693073
444	2692.201771
445	2690.429543
446	2688.034923
447	2686.321772
448	2685.410892
449	2684.728333
450	2683.887901
451	2682.094317
452	2681.849223
453	2679.404709
454	2676.510555
455	2673.069765
456	2671.479028
457	2669.776147
458	2666.350649
459	2665.505673
460	2663.759837
461	2662.023727
462	2661.314227
463	2660.475391
464	2658.924715
465	2656.348598
466	2654.655624
467	2653.847265
468	2651.767459
469	2650.463177
470	2647.965774
471	2647.240302
472	2646.796846
473	2643.910302
474	2642.315499
475	2641.276169
476	2638.726249
477	2636.539902
478	2635.157812
479	2634.392052
480	2632.663645
481	2630.889512
482	2628.486123
483	2626.612316
484	2624.33343
485	2622.04415
486	2619.960615
487	2619.202112
488	2617.210663
489	2615.01053
490	2613.847589
491	2613.241459
492	2611.175053
493	2609.415557
494	2607.085434
495	2606.676864
496	2604.917372
497	2603.15297
498	2601.553061
499	2600.862263
500	2598.715842
501	2597.388995
502	2595.621864
503	2594.215508
504	2591.212446
505	2588.852314
506	2588.496005
507	2587.341729
508	2585.109471
509	2583.521965
510	2581.571763
511	2580.620089
512	2578.456257
513	2576.628949
514	2574.6109
515	2573.596162
516	2571.077524
517	2568.869243
518	2567.625151
519	2565.820255
520	2564.222131
521	2561.908199
522	2558.941183
523	2557.705809
524	2556.482848
525	2554.526552
526	2553.321685
527	2551.852329
528	2549.985919
529	2548.66001
530	2547.440104
531	2545.40424
532	2543.845121
533	2540.62715
534	2539.006237
535	2538.707331
536	2537.188625
537	2536.235817
538	2534.505023
539	2532.593782
540	2531.658495
541	2530.31041
542	2529.030761
543	2527.752967
544	2525.425047
545	2522.385865
546	2520.141653
547	2517.235336
548	2515.836954
549	2515.317715
550	2514.214835
551	2512.719
552	2511.127944
553	2510.554153
554	2508.963579
555	2508.165689
556	2506.989584
557	2505.98932
558	2504.04286
559	2502.691817
560	2500.433807
561	2499.149982
562	2498.121733
563	2497.672783
564	2496.043312
565	2493.228747
566	2490.341007
567	2489.038779
568	2487.611733
569	2486.052022
570	2484.98115
571	2483.69771
572	2483.277988
573	2482.587925
574	2481.103364
575	2479.187995
576	2478.527638
577	2476.716732
578	2475.095272
579	2473.806289
580	2472.84459
581	2472.408972
582	2471.704787
583	2470.861053
584	2469.801983
585	2468.616458
586	2466.291061
587	2465.185851
588	2463.425628
589	2462.277182
590	2460.821677
591	2458.714017
592	2457.484197
593	2454.382977
594	2452.747282
595	2452.344935
596	2450.292958
597	2448.724903
598	2447.667998
599	2445.537978
600	2442.973493
601	2440.974451
602	2439.27517
603	2438.185021
604	2436.82941
605	2434.60763
606	2433.4655
607	2433.044734
608	2431.917408
609	2430.461687
610	2429.329669
611	2428.810659
612	2428.087542
613	2427.533158
614	2425.80215
615	2423.968287
616	2423.016652
617	2422.006522
618	2420.024218
619	2416.670958
620	2414.964319
621	2414.683485
622	2413.294329
623	2412.894349
624	2411.56321
625	2409.891189
626	2407.246357
627	2405.929335
628	2405.559907
629	2404.015963
630	2403.128103
631	2402.089402
632	2401.288831
633	2400.184468
634	2399.316143
635	2398.212797
636	2396.23398
637	2395.252288
638	2392.7378
639	2391.304736
640	2389.606136
641	2388.181877
642	2387.110194
643	2385.483126
644	2384.176518
645	2383.277848
646	2381.740244
647	2380.022718
648	2379.103511
649	2376.825344
650	2375.382853
651	2373.822883
652	2373.279759
653	2371.023013
654	2369.985389
655	2369.285219
656	2367.781775
657	2367.492804
658	2366.609825
659	2365.158351
660	2364.846674
661	2364.080035
662	2363.73225
663	2361.993914
664	2361.288678
665	2360.575224
666	2359.285054
667	2357.15524
668	2356.162228
669	2354.627067
670	2354.038678
671	2353.582349
672	2353.031509
673	2352.612611
674	2351.352723
675	2349.200376
676	2347.778923
677	2346.996945
678	2345.720944
679	2345.049904
680	2343.93177
681	2342.81331
682	2341.542309
683	2341.36118
684	2340.277365
685	2339.050042
686	2337.456926
687	2336.437937
688	2333.647194
689	2332.139678
690	2331.1239
691	2329.829619
692	2329.326264
693	2328.213102
694	2326.271017
695	2325.056927
696	2324.489194
697	2323.432362
698	2322.284482
699	2321.592014
700	2320.98808
701	2318.973245
702	2316.482673
703	2315.629655
704	2314.383824
705	2312.034315
706	2311.563378
707	2310.639779
708	2309.88637
709	2307.910904
710	2306.908531
711	2306.027985
712	2303.933429
713	2301.633151
714	2299.584811
715	2297.942099
716	2296.478314
717	2294.839958
718	2293.894102
719	2293.676888
720	2291.947188
721	2291.303387
722	2290.474255
723	2289.303006
724	2288.077733
725	2287.396551
726	2286.723913
727	2286.071659
728	2285.395645
729	2283.947302
730	2282.990452
731	2281.81239
732	2278.752381
733	2278.096547
734	2276.81267
735	2276.050757
736	2273.60935
737	2272.271834
738	2270.575148
739	2269.390457
740	2268.572087
741	2268.303423
742	2267.796753
743	2265.636249
744	2264.212306
745	2262.354519
746	2260.03986
747	2259.707874
748	2259.01928
749	2257.871183
750	2257.016795
751	2255.344089
752	2254.341387
753	2253.559693
754	2251.768478
755	2251.45169
756	2249.735644
757	2249.500655
758	2249.247718
759	2248.6193
760	2247.68483
761	2246.558604
762	2245.648537
763	2244.853588
764	2244.034746
765	2241.552118
766	2239.889505
767	2238.961215
768	2238.003098
769	2236.571729
770	2234.862631
771	2233.889205
772	2232.820611
773	2231.986256
774	2230.963957
775	2230.459189
776	2229.590544
777	2229.369566
778	2228.828292
779	2228.123185
780	2225.537491
781	2224.58133
782	2223.643592
783	2222.64455
784	2222.35965
785	2220.72502
786	2219.236369
787	2217.717696
788	2216.400374
789	2215.654837
790	2214.407106
791	2214.102922
792	2213.438034
793	2212.549382
794	2212.051889
795	2210.704335
796	2209.12496
797	2208.538586
798	2207.167816
799	2205.863296
800	2204.071604
801	2203.101971
802	2201.812172
803	2201.027295
804	2199.841108
805	2198.9111
806	2198.168809
807	2197.488067
808	2196.084219
809	2194.905583
810	2193.812443
811	2192.888096
812	2192.702223
813	2191.095814
814	2189.523296
815	2188.643554
816	2186.5865
817	2185.625105
818	2185.219246
819	2184.118788
820	2182.260304
821	2181.528491
822	2180.866146
823	2180.407001
824	2178.572957
825	2178.153137
826	2176.651217
827	2175.502395
828	2174.155443
829	2172.316956
830	2171.759365
831	2170.965973
832	2170.080024
833	2168.57126
834	2168.042854
835	2167.715535
836	2166.984114
837	2166.811149
838	2166.146373
839	2165.348517
840	2164.461521
841	2162.981154
842	2162.281948
843	2161.599541
844	2161.174866
845	2160.39685
846	2159.330206
847	2158.360725
848	2157.854527
849	2156.787712
850	2156.088803
851	2155.12837
852	2153.223269
853	2152.605015
854	2151.442636
855	2150.566235
856	2149.728685
857	2148.824176
858	2147.560239
859	2146.308061
860	2145.915682
861	2144.306439
862	2142.960062
863	2142.424077
864	2141.835503
865	2139.949719
866	2138.970017
867	2138.452441
868	2137.501611
869	2136.777265
870	2134.825077
871	2134.244879
872	2133.751419
