iter	Passed	Remaining
0	10	10321
1	11	5984
2	13	4535
3	15	3886
4	17	3434
5	18	3131
6	20	2913
7	22	2748
8	23	2625
9	25	2525
10	27	2440
11	28	2373
12	30	2314
13	32	2279
14	34	2234
15	35	2193
16	37	2157
17	38	2123
18	40	2105
19	42	2079
20	44	2053
21	45	2031
22	47	2027
23	49	2007
24	51	1992
25	52	1974
26	54	1959
27	56	1949
28	57	1936
29	59	1922
30	61	1909
31	63	1906
32	64	1894
33	66	1884
34	67	1873
35	69	1862
36	71	1859
37	73	1849
38	74	1841
39	76	1832
40	78	1825
41	80	1825
42	81	1818
43	83	1810
44	85	1804
45	86	1800
46	88	1795
47	90	1788
48	91	1782
49	93	1775
50	95	1772
51	96	1767
52	98	1761
53	100	1757
54	102	1753
55	103	1747
56	105	1742
57	106	1737
58	108	1734
59	110	1734
60	112	1729
61	114	1725
62	115	1722
63	117	1718
64	119	1714
65	120	1709
66	122	1705
67	124	1701
68	125	1696
69	127	1696
70	129	1692
71	131	1691
72	132	1687
73	134	1683
74	136	1679
75	137	1676
76	139	1672
77	141	1668
78	142	1664
79	144	1661
80	146	1658
81	147	1656
82	149	1653
83	151	1650
84	152	1646
85	154	1643
86	156	1639
87	157	1636
88	159	1635
89	161	1633
90	164	1641
91	167	1651
92	170	1658
93	173	1670
94	175	1673
95	179	1692
96	182	1699
97	188	1735
98	193	1761
99	196	1770
100	198	1769
101	201	1772
102	205	1785
103	209	1808
104	212	1809
105	215	1819
106	218	1821
107	220	1817
108	221	1812
109	226	1832
110	230	1842
111	232	1842
112	234	1836
113	235	1831
114	237	1826
115	239	1825
116	241	1819
117	242	1815
118	244	1809
119	246	1804
120	247	1799
121	249	1794
122	251	1790
123	252	1785
124	255	1785
125	256	1780
126	258	1776
127	260	1772
128	261	1767
129	263	1763
130	265	1759
131	266	1754
132	268	1751
133	270	1747
134	272	1743
135	273	1739
136	275	1734
137	277	1730
138	278	1726
139	280	1722
140	282	1718
141	284	1716
142	285	1711
143	287	1709
144	289	1705
145	290	1701
146	292	1697
147	294	1693
148	295	1690
149	297	1686
150	299	1684
151	301	1680
152	302	1677
153	304	1673
154	306	1669
155	307	1665
156	309	1662
157	311	1658
158	312	1654
159	315	1656
160	317	1654
161	319	1651
162	320	1648
163	322	1644
164	324	1640
165	325	1637
166	327	1633
167	329	1631
168	331	1627
169	332	1624
170	334	1621
171	336	1618
172	337	1615
173	339	1612
174	341	1608
175	342	1605
176	344	1603
177	347	1605
178	350	1607
179	352	1605
180	354	1605
181	357	1605
182	359	1607
183	362	1607
184	365	1610
185	368	1610
186	369	1607
187	373	1612
188	376	1614
189	378	1612
190	380	1611
191	384	1617
192	387	1618
193	389	1616
194	391	1618
195	394	1619
196	397	1619
197	401	1625
198	404	1626
199	407	1629
200	410	1630
201	412	1628
202	413	1625
203	415	1621
204	417	1617
205	418	1614
206	420	1610
207	422	1608
208	424	1604
209	425	1601
210	427	1598
211	429	1594
212	430	1591
213	432	1588
214	434	1585
215	435	1581
216	437	1579
217	439	1576
218	441	1573
219	442	1569
220	444	1566
221	446	1563
222	447	1560
223	449	1557
224	451	1553
225	452	1550
226	454	1547
227	455	1543
228	457	1540
229	462	1549
230	464	1545
231	466	1542
232	467	1540
233	469	1537
234	471	1534
235	473	1531
236	474	1528
237	476	1525
238	478	1522
239	479	1519
240	481	1516
241	483	1514
242	484	1510
243	486	1507
244	488	1504
245	489	1501
246	491	1498
247	493	1495
248	495	1493
249	496	1489
250	498	1488
251	500	1486
252	502	1482
253	503	1479
254	505	1476
255	506	1473
256	508	1470
257	510	1467
258	511	1464
259	513	1462
260	515	1459
261	516	1456
262	518	1453
263	520	1450
264	521	1447
265	523	1444
266	525	1441
267	527	1439
268	528	1436
269	530	1434
270	532	1431
271	533	1428
272	535	1425
273	536	1422
274	538	1419
275	540	1417
276	541	1414
277	543	1411
278	545	1410
279	547	1407
280	549	1405
281	550	1402
282	552	1399
283	554	1396
284	555	1393
285	557	1391
286	559	1389
287	561	1387
288	562	1384
289	564	1381
290	565	1378
291	567	1376
292	569	1373
293	570	1371
294	572	1368
295	574	1366
296	576	1364
297	577	1361
298	579	1358
299	581	1356
300	582	1353
301	584	1351
302	586	1348
303	587	1345
304	589	1343
305	591	1341
306	593	1338
307	594	1335
308	596	1333
309	597	1330
310	599	1328
311	601	1325
312	602	1322
313	604	1320
314	606	1318
315	608	1316
316	609	1314
317	611	1311
318	613	1309
319	614	1306
320	616	1304
321	618	1301
322	619	1299
323	621	1297
324	623	1295
325	625	1292
326	626	1290
327	628	1287
328	630	1285
329	631	1282
330	633	1280
331	634	1277
332	636	1275
333	638	1273
334	640	1270
335	641	1268
336	643	1266
337	645	1263
338	646	1261
339	648	1258
340	650	1256
341	651	1254
342	653	1252
343	655	1250
344	657	1247
345	658	1245
346	660	1242
347	662	1240
348	663	1238
349	665	1235
350	667	1235
351	670	1234
352	672	1231
353	674	1230
354	676	1228
355	678	1226
356	679	1224
357	681	1222
358	684	1222
359	687	1221
360	690	1221
361	692	1220
362	697	1223
363	699	1223
364	702	1222
365	705	1221
366	708	1221
367	714	1227
368	720	1231
369	724	1234
370	728	1235
371	730	1233
372	732	1231
373	735	1231
374	737	1229
375	739	1227
376	741	1224
377	743	1223
378	745	1220
379	746	1218
380	748	1216
381	750	1214
382	752	1211
383	753	1209
384	755	1206
385	757	1204
386	759	1202
387	760	1199
388	762	1197
389	764	1194
390	767	1195
391	769	1193
392	771	1191
393	772	1188
394	774	1186
395	776	1184
396	778	1181
397	779	1179
398	781	1177
399	783	1175
