"","datetime","number","day","size","temp","rhum","wdir","wspd","pres","season","weekdays","sunrise","sunset","dayNight","peak","businessday","wdays","hours"
"1",2016-10-28 09:00:00,11255.4867573372,2016-10-28,40.5674302075877,14,78,250,13,1034,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"day",TRUE,TRUE,"Friday",9
"2",2016-10-28 10:00:00,13840.6876944837,2016-10-28,34.9888543140028,14.8,74,270,16.6,1034.1,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"day",FALSE,TRUE,"Friday",10
"3",2016-10-28 11:00:00,3572.9801980198,2016-10-28,53.8264214992928,15.8,72,270,14.8,1034.6,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"day",FALSE,TRUE,"Friday",11
"4",2016-10-28 12:00:00,3788.06817538897,2016-10-28,53.1399717114569,16.2,71,260,14.8,1034.4,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"day",FALSE,TRUE,"Friday",12
"5",2016-10-28 13:00:00,4492.89420084866,2016-10-28,51.5983026874116,16.2,72,300,13,1034.5,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"day",FALSE,TRUE,"Friday",13
"6",2016-10-28 14:00:00,3431.98896746818,2016-10-28,59.895954738331,16.8,70,270,11.2,1034.3,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"day",FALSE,TRUE,"Friday",14
"7",2016-10-28 15:00:00,4007.8100764223,2016-10-28,57.2418624398528,15.9,74,270,11.2,1034.5,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"day",FALSE,TRUE,"Friday",15
"8",2016-10-28 16:00:00,3233.99459459459,2016-10-28,70.7045803698435,15.9,75,310,5.4,1034.8,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"day",TRUE,TRUE,"Friday",16
"9",2016-10-28 17:00:00,6512.73499856446,2016-10-28,57.0273040482343,15.4,78,270,7.6,1035,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"night",TRUE,TRUE,"Friday",17
"10",2016-10-28 18:00:00,5587.44724186704,2016-10-28,58.9611881188119,15.3,79,270,7.6,1035.2,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"night",TRUE,TRUE,"Friday",18
