"","datetime","number","day","wd","ws","tem","season","weekdays","sunrise","sunset","dayNight","peak","businessday","wdays","hours","PM2.5"
"1",2016-10-28 09:00:00,11255.4867573372,2016-10-28,259.1,3.3,10,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"day",TRUE,TRUE,"Friday",9,11.9
"2",2016-10-28 10:00:00,13840.6876944837,2016-10-28,258.4,3.1,10.2,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"day",FALSE,TRUE,"Friday",10,10.7
"3",2016-10-28 11:00:00,3572.9801980198,2016-10-28,258.6,3.2,10.4,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"day",FALSE,TRUE,"Friday",11,8.1
"4",2016-10-28 12:00:00,3788.06817538897,2016-10-28,265.1,3.2,10.7,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"day",FALSE,TRUE,"Friday",12,9.2
"5",2016-10-28 13:00:00,4492.89420084866,2016-10-28,272.1,2.8,10.7,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"day",FALSE,TRUE,"Friday",13,8.4
"6",2016-10-28 14:00:00,3431.98896746818,2016-10-28,269.1,2.5,10.9,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"day",FALSE,TRUE,"Friday",14,11.4
"7",2016-10-28 15:00:00,4007.8100764223,2016-10-28,262.9,2.2,11.1,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"day",FALSE,TRUE,"Friday",15,6.6
"8",2016-10-28 16:00:00,3233.99459459459,2016-10-28,259,2.2,11.3,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"day",TRUE,TRUE,"Friday",16,9.3
"9",2016-10-28 17:00:00,6512.73499856446,2016-10-28,268.9,2.1,11.6,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"night",TRUE,TRUE,"Friday",17,11.2
"10",2016-10-28 18:00:00,5587.44724186704,2016-10-28,275.3,1.9,11.7,"autumm","weekday",2016-10-28 06:47:56,2016-10-28 16:40:26,"night",TRUE,TRUE,"Friday",18,9.5
