"","datetime","number","day","size","temp","rhum","wdir","wspd","pres","season","weekdays","sunrise","sunset","dayNight","peak","businessday","wdays","hours"
"1",2017-04-20 10:00:00,6862.77485380117,2017-04-20,54.1081871345029,11.9,57,240,13,1036.6,"spring","weekday",2017-04-20 04:54:21,2017-04-20 19:06:11,"day",FALSE,TRUE,"Thursday",10
"2",2017-04-20 11:00:00,9609.21386138614,2017-04-20,46.5323620933522,13.4,57,250,14.8,1036.4,"spring","weekday",2017-04-20 04:54:21,2017-04-20 19:06:11,"day",FALSE,TRUE,"Thursday",11
"3",2017-04-20 12:00:00,13049.2195190948,2017-04-20,47.5555304101839,14.3,54,240,13,1036.1,"spring","weekday",2017-04-20 04:54:21,2017-04-20 19:06:11,"day",FALSE,TRUE,"Thursday",12
"4",2017-04-20 13:00:00,13217.859688826,2017-04-20,48.6931824611033,14.4,56,280,16.6,1035.6,"spring","weekday",2017-04-20 04:54:21,2017-04-20 19:06:11,"day",FALSE,TRUE,"Thursday",13
"5",2017-04-20 14:00:00,15433.3244695898,2017-04-20,46.5897595473833,13.9,62,290,16.6,1035.3,"spring","weekday",2017-04-20 04:54:21,2017-04-20 19:06:11,"day",FALSE,TRUE,"Thursday",14
"6",2017-04-20 15:00:00,12057.0998585573,2017-04-20,47.994342291372,13.8,64,260,16.6,1034.9,"spring","weekday",2017-04-20 04:54:21,2017-04-20 19:06:11,"day",FALSE,TRUE,"Thursday",15
"7",2017-04-20 16:00:00,9599.76859971711,2017-04-20,52.5156435643564,14.2,65,290,11.2,1034.3,"spring","weekday",2017-04-20 04:54:21,2017-04-20 19:06:11,"day",TRUE,TRUE,"Thursday",16
"8",2017-04-20 17:00:00,7815.04384724187,2017-04-20,48.5340311173975,15.5,63,250,11.2,1034,"spring","weekday",2017-04-20 04:54:21,2017-04-20 19:06:11,"day",TRUE,TRUE,"Thursday",17
"9",2017-04-20 18:00:00,12998,2017-04-20,43.5677227722772,13.9,75,300,9.4,1034,"spring","weekday",2017-04-20 04:54:21,2017-04-20 19:06:11,"day",TRUE,TRUE,"Thursday",18
"10",2017-04-20 19:00:00,19993.8469589816,2017-04-20,42.2225459688826,12.6,82,290,7.6,1033.9,"spring","weekday",2017-04-20 04:54:21,2017-04-20 19:06:11,"day",TRUE,TRUE,"Thursday",19
"11",2017-04-20 20:00:00,31174.7881188119,2017-04-20,43.9488260254597,12.5,81,270,5.4,1034.1,"spring","weekday",2017-04-20 04:54:21,2017-04-20 19:06:11,"night",FALSE,TRUE,"Thursday",20
"12",2017-04-20 21:00:00,32954.2769448373,2017-04-20,42.5250919377652,12.4,83,280,7.6,1034.3,"spring","weekday",2017-04-20 04:54:21,2017-04-20 19:06:11,"night",FALSE,TRUE,"Thursday",21
"13",2017-04-20 22:00:00,12426.8933521924,2017-04-20,51.4343988684583,11.9,84,270,9.4,1034.2,"spring","weekday",2017-04-20 04:54:21,2017-04-20 19:06:11,"night",FALSE,TRUE,"Thursday",22
"14",2017-04-20 23:00:00,11438.1872701556,2017-04-20,54.3549646393211,10.9,89,270,7.6,1033.9,"spring","weekday",2017-04-20 04:54:21,2017-04-20 19:06:11,"night",FALSE,TRUE,"Thursday",23
"15",2017-04-21 00:00:00,13026.0401697313,2017-04-21,50.1062234794908,10.6,90,290,7.6,1033.8,"spring","weekday",2017-04-21 04:52:16,2017-04-21 19:07:51,"night",FALSE,TRUE,"Friday",0
"16",2017-04-21 01:00:00,12122.7408769448,2017-04-21,53.3684016973126,9.3,95,300,3.6,1033.6,"spring","weekday",2017-04-21 04:52:16,2017-04-21 19:07:51,"night",FALSE,TRUE,"Friday",1
"17",2017-04-21 02:00:00,8155.10834512023,2017-04-21,67.5777934936351,9,96,280,5.4,1033.3,"spring","weekday",2017-04-21 04:52:16,2017-04-21 19:07:51,"night",FALSE,TRUE,"Friday",2
"18",2017-04-21 03:00:00,6608.36181046676,2017-04-21,71.5483734087695,8.3,97,260,9.4,1033,"spring","weekday",2017-04-21 04:52:16,2017-04-21 19:07:51,"night",FALSE,TRUE,"Friday",3
"19",2017-04-21 04:00:00,7636.51654879774,2017-04-21,64.2211598302687,7.4,94,260,7.6,1032.8,"spring","weekday",2017-04-21 04:52:16,2017-04-21 19:07:51,"night",FALSE,TRUE,"Friday",4
"20",2017-04-21 05:00:00,7863.30579915134,2017-04-21,62.6020084865629,7.6,91,270,5.4,1032.7,"spring","weekday",2017-04-21 04:52:16,2017-04-21 19:07:51,"day",FALSE,TRUE,"Friday",5
"21",2017-04-21 06:00:00,12123.8070721358,2017-04-21,53.2023762376238,9,86,280,7.6,1032.8,"spring","weekday",2017-04-21 04:52:16,2017-04-21 19:07:51,"day",FALSE,TRUE,"Friday",6
"22",2017-04-21 07:00:00,13959.9643564356,2017-04-21,53.1617538896747,9.7,84,270,7.6,1033,"spring","weekday",2017-04-21 04:52:16,2017-04-21 19:07:51,"day",TRUE,TRUE,"Friday",7
"23",2017-04-21 08:00:00,18348.0316831683,2017-04-21,46.5659123055163,10.6,81,300,7.6,1033,"spring","weekday",2017-04-21 04:52:16,2017-04-21 19:07:51,"day",TRUE,TRUE,"Friday",8
"24",2017-04-21 09:00:00,18377.4919377652,2017-04-21,44.2737765205092,11.8,73,290,9.4,1033,"spring","weekday",2017-04-21 04:52:16,2017-04-21 19:07:51,"day",TRUE,TRUE,"Friday",9
"25",2017-04-21 10:00:00,16758.8067892504,2017-04-21,42.2698161244696,13.1,71,290,9.4,1032.8,"spring","weekday",2017-04-21 04:52:16,2017-04-21 19:07:51,"day",FALSE,TRUE,"Friday",10
