"","datetime","number","day","size","temp","rhum","wdir","wspd","pres","season","weekdays","sunrise","sunset","dayNight","peak","businessday","wdays","hours"
"1",2018-01-16 08:00:00,17420.4246885617,2018-01-16,25.0343148357871,5.5,73,260,31.3,995.5,"winter","weekday",2018-01-16 07:59:02,2018-01-16 16:22:35,"day",TRUE,TRUE,"Tuesday",8
"2",2018-01-16 09:00:00,21371.25572843,2018-01-16,23.5874115983027,5.2,72,260,31.3,996.2,"winter","weekday",2018-01-16 07:59:02,2018-01-16 16:22:35,"day",TRUE,TRUE,"Tuesday",9
"3",2018-01-16 10:00:00,21613.6067892504,2018-01-16,21.8296746817539,5.7,73,250,33.5,996.7,"winter","weekday",2018-01-16 07:59:02,2018-01-16 16:22:35,"day",FALSE,TRUE,"Tuesday",10
"4",2018-01-16 11:00:00,32843.2571428571,2018-01-16,25.2257991513437,6,71,260,35.3,997.2,"winter","weekday",2018-01-16 07:59:02,2018-01-16 16:22:35,"day",FALSE,TRUE,"Tuesday",11
"5",2018-01-16 12:00:00,19447.3553041018,2018-01-16,29.9940028288543,7.5,61,260,33.5,997,"winter","weekday",2018-01-16 07:59:02,2018-01-16 16:22:35,"day",FALSE,TRUE,"Tuesday",12
"6",2018-01-16 13:00:00,12579.1352192362,2018-01-16,30.9781046676096,7.7,57,260,40.7,996.6,"winter","weekday",2018-01-16 07:59:02,2018-01-16 16:22:35,"day",FALSE,TRUE,"Tuesday",13
"7",2018-01-16 14:00:00,12597.2503536068,2018-01-16,31.1969448373409,7.5,54,270,37.1,996.4,"winter","weekday",2018-01-16 07:59:02,2018-01-16 16:22:35,"day",FALSE,TRUE,"Tuesday",14
"8",2018-01-16 15:00:00,16091.4387553041,2018-01-16,25.1647241867044,6.2,60,260,33.5,996.4,"winter","weekday",2018-01-16 07:59:02,2018-01-16 16:22:35,"day",FALSE,TRUE,"Tuesday",15
"9",2018-01-16 16:00:00,13215.3374823197,2018-01-16,30.3956152758133,6,64,240,25.9,995.6,"winter","weekday",2018-01-16 07:59:02,2018-01-16 16:22:35,"day",TRUE,TRUE,"Tuesday",16
"10",2018-01-16 17:00:00,12205.8387553041,2018-01-16,33.6482319660537,5.7,71,230,25.9,994.9,"winter","weekday",2018-01-16 07:59:02,2018-01-16 16:22:35,"night",TRUE,TRUE,"Tuesday",17
"11",2018-01-16 18:00:00,15349.9626591231,2018-01-16,35.0810749646393,4.2,76,250,25.9,994.7,"winter","weekday",2018-01-16 07:59:02,2018-01-16 16:22:35,"night",TRUE,TRUE,"Tuesday",18
