iter	RMSE
0	9.434068196
1	9.403732428
2	9.371742487
3	9.342627331
4	9.308349072
5	9.279911415
6	9.255984508
7	9.22586794
8	9.199309546
9	9.176746254
10	9.150160623
11	9.128319624
12	9.107006845
13	9.087794142
14	9.068063934
15	9.048416397
16	9.035413281
17	9.023690188
18	9.004580598
19	8.990722709
20	8.974728972
21	8.959747415
22	8.944603441
23	8.933189001
24	8.918010444
25	8.906823331
26	8.894308409
27	8.882676566
28	8.870222212
29	8.860273874
30	8.849669539
31	8.838601984
32	8.829860264
33	8.818932654
34	8.810733199
35	8.801342635
36	8.791602634
37	8.783155234
38	8.774652618
39	8.76607459
40	8.757477015
41	8.749845122
42	8.740237502
43	8.73327548
44	8.723545449
45	8.714493961
46	8.709057974
47	8.703402594
48	8.69349386
49	8.683515011
50	8.675005922
51	8.667307833
52	8.660379569
53	8.652638753
54	8.644294669
55	8.637897758
56	8.63122109
57	8.624921937
58	8.619777279
59	8.612484758
60	8.605798472
61	8.600752297
62	8.59234234
63	8.588240575
64	8.582398338
65	8.577779076
66	8.569885886
67	8.563892339
68	8.556748968
69	8.549791574
70	8.544518313
71	8.538791466
72	8.532651219
73	8.525910099
74	8.520887212
75	8.51606819
76	8.513309603
77	8.506562287
78	8.501336524
79	8.496554425
80	8.49082774
81	8.484787055
82	8.480859625
83	8.474050829
84	8.470553585
85	8.466683282
86	8.462487151
87	8.45773213
88	8.452324565
89	8.44857382
90	8.445772941
91	8.4422514
92	8.436683023
93	8.43255789
94	8.428915425
95	8.426074374
96	8.42397859
97	8.418736307
98	8.414630629
99	8.409389831
100	8.40578308
101	8.400755072
102	8.398497095
103	8.395524582
104	8.392462132
105	8.389821274
106	8.385967422
107	8.381042377
108	8.378022107
109	8.374735762
110	8.368831156
111	8.362114988
112	8.358066546
113	8.355238822
114	8.351074599
115	8.345131676
116	8.340315762
117	8.335136261
118	8.331911632
119	8.328675068
120	8.323286713
121	8.31914269
122	8.312442105
123	8.30817322
124	8.303966981
125	8.2997611
126	8.293898544
127	8.290451934
128	8.286318581
129	8.282522265
130	8.279193918
131	8.274498465
132	8.270285574
133	8.266435802
134	8.263339498
135	8.260278121
136	8.255655578
137	8.252466893
138	8.24768428
139	8.244142901
