iter	Passed	Remaining
0	3	3067
1	7	3821
2	13	4354
3	16	4084
4	21	4296
5	26	4396
6	31	4470
7	36	4507
8	41	4550
9	46	4584
10	51	4589
11	55	4606
12	60	4619
13	64	4524
14	68	4497
15	73	4522
16	78	4534
17	83	4547
18	88	4576
19	93	4562
20	99	4622
21	104	4633
22	109	4656
23	114	4674
24	120	4683
25	125	4690
26	129	4682
27	134	4668
28	139	4670
29	144	4683
30	149	4672
31	155	4689
32	160	4697
33	165	4694
34	170	4693
35	175	4691
36	180	4689
37	184	4679
38	189	4673
39	194	4677
40	199	4672
41	204	4669
42	209	4658
43	214	4657
44	217	4622
45	226	4690
46	229	4659
47	234	4658
48	240	4658
49	244	4652
50	250	4654
51	254	4646
52	259	4641
53	263	4618
54	268	4611
55	273	4612
56	287	4756
57	303	4927
58	308	4916
59	313	4912
60	318	4900
61	323	4891
62	328	4881
63	332	4867
64	337	4859
65	342	4847
66	347	4840
67	353	4839
68	358	4840
69	363	4827
70	368	4820
71	373	4809
72	378	4803
73	383	4794
74	388	4787
75	393	4782
76	398	4772
77	407	4818
78	412	4814
79	418	4808
80	422	4793
81	427	4786
82	432	4777
83	436	4755
84	441	4749
85	446	4741
86	451	4733
87	456	4727
88	461	4719
89	465	4710
90	470	4704
91	475	4696
92	480	4687
93	485	4679
94	490	4675
95	495	4668
96	500	4656
97	505	4650
98	508	4630
99	513	4618
100	518	4614
101	523	4604
102	527	4597
103	532	4591
104	537	4585
105	542	4578
106	547	4571
107	552	4565
108	557	4556
109	562	4550
110	567	4545
111	571	4530
112	576	4522
113	582	4529
114	588	4528
115	594	4526
116	598	4519
117	602	4506
118	609	4509
119	613	4501
120	619	4503
121	625	4501
122	630	4495
123	635	4489
124	640	4485
125	645	4477
126	650	4468
127	655	4464
128	660	4456
129	665	4450
130	669	4443
131	675	4441
132	679	4431
133	684	4423
134	687	4407
135	692	4399
136	698	4397
137	703	4393
138	708	4387
139	713	4379
140	718	4375
141	723	4369
142	727	4361
143	732	4357
144	757	4466
145	762	4458
146	766	4448
147	771	4443
148	776	4435
149	781	4428
150	786	4421
151	791	4413
152	796	4407
153	801	4402
154	807	4403
155	812	4397
156	817	4391
157	822	4385
158	826	4371
159	834	4379
160	840	4379
161	845	4373
162	851	4373
163	857	4373
164	863	4368
165	868	4361
166	872	4354
167	878	4352
168	883	4342
169	888	4339
170	893	4332
171	899	4328
172	904	4323
173	909	4317
174	915	4314
175	919	4305
176	926	4308
177	932	4307
178	938	4303
179	944	4301
180	949	4297
181	954	4291
182	959	4284
183	965	4283
184	971	4281
185	977	4277
186	983	4275
187	988	4270
188	994	4267
189	1001	4269
190	1007	4265
191	1011	4258
192	1016	4250
193	1022	4247
194	1027	4241
195	1032	4235
196	1037	4229
197	1043	4228
198	1049	4225
199	1055	4220
200	1061	4220
201	1066	4213
202	1071	4208
203	1077	4205
204	1082	4197
205	1087	4192
206	1093	4187
207	1098	4182
208	1104	4178
209	1109	4172
210	1114	4166
211	1118	4158
212	1124	4153
213	1128	4145
214	1133	4138
215	1138	4131
216	1144	4128
217	1149	4124
218	1153	4113
219	1159	4110
220	1166	4110
221	1173	4112
222	1179	4110
223	1185	4106
224	1191	4103
225	1196	4097
226	1202	4093
227	1207	4089
228	1213	4086
229	1219	4081
230	1231	4100
231	1242	4113
232	1248	4110
233	1254	4107
234	1260	4103
235	1266	4099
236	1272	4095
237	1277	4090
238	1283	4085
239	1289	4083
240	1295	4081
241	1301	4075
242	1306	4069
243	1313	4068
244	1318	4063
245	1323	4057
246	1329	4053
247	1334	4045
248	1340	4041
249	1345	4036
250	1350	4029
251	1355	4022
252	1360	4017
253	1366	4014
254	1372	4008
255	1377	4002
256	1382	3998
257	1387	3990
258	1392	3985
259	1398	3979
260	1402	3970
261	1407	3964
262	1412	3957
263	1417	3950
264	1421	3943
265	1426	3937
266	1432	3931
267	1437	3927
268	1442	3919
269	1447	3913
270	1452	3907
271	1457	3900
272	1462	3895
273	1466	3885
274	1471	3879
275	1476	3872
276	1480	3865
277	1486	3860
278	1499	3876
279	1505	3870
280	1510	3864
281	1515	3857
282	1521	3854
283	1537	3875
284	1552	3894
285	1556	3885
286	1565	3889
287	1573	3889
288	1579	3885
289	1585	3882
290	1590	3876
291	1597	3873
292	1603	3869
293	1610	3867
294	1616	3863
295	1621	3857
296	1625	3847
297	1631	3842
298	1635	3833
299	1640	3827
300	1647	3826
301	1652	3820
302	1657	3812
303	1662	3805
304	1667	3800
305	1672	3794
306	1677	3787
307	1682	3780
308	1687	3773
309	1691	3765
310	1714	3798
311	1723	3799
312	1729	3795
313	1735	3791
314	1741	3786
315	1747	3782
316	1751	3774
317	1756	3768
318	1761	3760
319	1768	3757
320	1772	3748
321	1777	3743
322	1783	3738
323	1789	3734
324	1795	3729
325	1800	3723
326	1804	3713
327	1810	3708
328	1815	3703
329	1821	3698
330	1826	3691
331	1831	3685
332	1837	3681
333	1843	3675
334	1848	3669
335	1852	3661
336	1858	3655
337	1864	3651
338	1871	3649
339	1877	3643
340	1882	3638
341	1888	3632
342	1893	3626
343	1900	3624
344	1906	3620
345	1919	3627
346	1924	3620
347	1929	3614
348	1935	3610
349	1940	3604
350	1945	3597
351	1951	3592
352	1956	3585
353	1963	3582
354	1968	3576
355	1974	3571
356	1979	3565
357	1985	3561
358	1989	3553
359	1996	3548
360	2000	3541
361	2006	3535
362	2009	3527
363	2015	3520
364	2019	3513
365	2024	3507
366	2030	3501
367	2035	3495
368	2040	3489
369	2046	3484
370	2051	3477
371	2056	3471
372	2060	3463
373	2065	3457
374	2070	3451
375	2075	3444
376	2080	3438
377	2085	3431
378	2089	3424
379	2094	3416
380	2098	3410
381	2103	3403
382	2109	3397
383	2113	3390
384	2118	3384
385	2122	3376
386	2128	3371
387	2133	3365
388	2137	3356
389	2142	3351
390	2148	3346
391	2151	3337
392	2157	3332
393	2162	3326
394	2168	3321
395	2172	3314
396	2177	3308
397	2182	3301
398	2187	3295
399	2196	3294
400	2201	3289
401	2207	3283
402	2212	3278
403	2217	3271
404	2221	3263
405	2229	3261
406	2234	3256
407	2239	3249
408	2245	3245
409	2251	3239
410	2255	3232
411	2261	3227
412	2266	3221
413	2271	3214
414	2277	3210
415	2281	3203
416	2286	3197
417	2292	3191
418	2297	3185
419	2302	3180
420	2308	3174
421	2318	3175
422	2325	3171
423	2329	3164
424	2335	3159
425	2341	3155
426	2345	3147
427	2352	3144
428	2357	3137
429	2362	3131
430	2368	3126
431	2373	3120
